dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
CiteSeer,GCN,0,0.01,identity,,0.5830000042915344,9,2.01759672164917
CiteSeer,GCN,0,0.01,shuffled_features,,0.257999986410141,6,1.7830052375793457
CiteSeer,GCN,0,0.01,gaussian_features,0.1,0.6190000176429749,107,9.474387645721436
CiteSeer,GCN,0,0.01,gaussian_features,0.3,0.43799999356269836,8,2.3482608795166016
CiteSeer,GCN,0,0.01,gaussian_features,0.5,0.38499999046325684,4,2.366513967514038
CiteSeer,GCN,0,0.01,edge_drop,,0.5649999976158142,9,3.7451171875
CiteSeer,GCN,0,0.03,identity,,0.6610000133514404,6,1.9598748683929443
CiteSeer,GCN,0,0.03,shuffled_features,,0.32199999690055847,10,2.010565996170044
CiteSeer,GCN,0,0.03,gaussian_features,0.1,0.5979999899864197,5,1.8523683547973633
CiteSeer,GCN,0,0.03,gaussian_features,0.3,0.4880000054836273,4,1.6090736389160156
CiteSeer,GCN,0,0.03,gaussian_features,0.5,0.44699999690055847,3,1.603696584701538
CiteSeer,GCN,0,0.03,edge_drop,,0.6610000133514404,5,2.0898656845092773
CiteSeer,GCN,0,0.05,identity,,0.7160000205039978,9,2.504995346069336
CiteSeer,GCN,0,0.05,shuffled_features,,0.41999998688697815,8,1.9510281085968018
CiteSeer,GCN,0,0.05,gaussian_features,0.1,0.6850000023841858,6,1.7980434894561768
CiteSeer,GCN,0,0.05,gaussian_features,0.3,0.5659999847412109,10,2.0738675594329834
CiteSeer,GCN,0,0.05,gaussian_features,0.5,0.5080000162124634,9,2.029026508331299
CiteSeer,GCN,0,0.05,edge_drop,,0.7070000171661377,5,2.3081653118133545
CiteSeer,GCN,0,0.1,identity,,0.7490000128746033,4,1.878105878829956
CiteSeer,GCN,0,0.1,shuffled_features,,0.5139999985694885,9,2.0300567150115967
CiteSeer,GCN,0,0.1,gaussian_features,0.1,0.7239999771118164,5,1.6855785846710205
CiteSeer,GCN,0,0.1,gaussian_features,0.3,0.6389999985694885,4,1.668778419494629
CiteSeer,GCN,0,0.1,gaussian_features,0.5,0.6010000109672546,4,1.711402416229248
CiteSeer,GCN,0,0.1,edge_drop,,0.7509999871253967,3,1.808335781097412
CiteSeer,GCN,1,0.01,identity,,0.5479999780654907,7,2.370285749435425
CiteSeer,GCN,1,0.01,shuffled_features,,0.23999999463558197,5,1.7060589790344238
CiteSeer,GCN,1,0.01,gaussian_features,0.1,0.48500001430511475,17,2.5266802310943604
CiteSeer,GCN,1,0.01,gaussian_features,0.3,0.45100000500679016,118,10.46663236618042
