dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Cora,GCN,0,0.01,identity,,0.6169999837875366,10,1.3964722156524658
Cora,GCN,0,0.01,shuffled_features,,0.30000001192092896,6,0.9363803863525391
Cora,GCN,0,0.01,gaussian_features,0.1,0.47099998593330383,7,0.9486305713653564
Cora,GCN,0,0.01,gaussian_features,0.3,0.44200000166893005,12,1.0852925777435303
Cora,GCN,0,0.01,gaussian_features,0.5,0.4000000059604645,7,0.9271905422210693
Cora,GCN,0,0.01,edge_drop,,0.6230000257492065,75,3.0322823524475098
Cora,GCN,0,0.03,identity,,0.7990000247955322,9,1.3651409149169922
Cora,GCN,0,0.03,shuffled_features,,0.4359999895095825,14,1.576915979385376
Cora,GCN,0,0.03,gaussian_features,0.1,0.7269999980926514,9,1.037262201309204
Cora,GCN,0,0.03,gaussian_features,0.3,0.5569999814033508,11,1.071930170059204
Cora,GCN,0,0.03,gaussian_features,0.5,0.5189999938011169,12,1.062826156616211
Cora,GCN,0,0.03,edge_drop,,0.7720000147819519,12,1.0212302207946777
Cora,GCN,0,0.05,identity,,0.8180000185966492,27,1.5604991912841797
Cora,GCN,0,0.05,shuffled_features,,0.5249999761581421,21,1.3907122611999512
Cora,GCN,0,0.05,gaussian_features,0.1,0.7570000290870667,10,1.012826681137085
Cora,GCN,0,0.05,gaussian_features,0.3,0.6349999904632568,10,1.0424540042877197
Cora,GCN,0,0.05,gaussian_features,0.5,0.5899999737739563,6,1.248117446899414
Cora,GCN,0,0.05,edge_drop,,0.7919999957084656,62,3.0661158561706543
Cora,GCN,0,0.1,identity,,0.8429999947547913,11,1.0999386310577393
Cora,GCN,0,0.1,shuffled_features,,0.6399999856948853,25,1.509355068206787
Cora,GCN,0,0.1,gaussian_features,0.1,0.8259999752044678,9,0.983863353729248
Cora,GCN,0,0.1,gaussian_features,0.3,0.7350000143051147,10,0.9990873336791992
Cora,GCN,0,0.1,gaussian_features,0.5,0.7020000219345093,16,1.2719173431396484
Cora,GCN,0,0.1,edge_drop,,0.8270000219345093,36,1.8603668212890625
Cora,GCN,1,0.01,identity,,0.6620000004768372,35,2.58298921585083
Cora,GCN,1,0.01,shuffled_features,,0.3840000033378601,15,1.2281134128570557
