dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Synthetic-Heterophilous,GCN,0,0.01,identity,,0.5025125741958618,46,16.442842483520508
Synthetic-Heterophilous,GCN,0,0.01,shuffled_features,,0.32914572954177856,45,15.300215244293213
Synthetic-Heterophilous,GCN,0,0.01,gaussian_features,0.1,0.520100474357605,46,16.29522466659546
Synthetic-Heterophilous,GCN,0,0.01,gaussian_features,0.3,0.5050251483917236,48,16.99444341659546
Synthetic-Heterophilous,GCN,0,0.01,gaussian_features,0.5,0.5,46,15.876030683517456
Synthetic-Heterophilous,GCN,0,0.01,edge_drop,,0.4296482503414154,58,15.39005994796753
Synthetic-Heterophilous,GCN,0,0.03,identity,,0.6281406879425049,47,16.520796060562134
Synthetic-Heterophilous,GCN,0,0.03,shuffled_features,,0.3844221234321594,51,17.204885482788086
Synthetic-Heterophilous,GCN,0,0.03,gaussian_features,0.1,0.6256281137466431,28,11.810289859771729
Synthetic-Heterophilous,GCN,0,0.03,gaussian_features,0.3,0.6356784105300903,25,11.052701711654663
Synthetic-Heterophilous,GCN,0,0.03,gaussian_features,0.5,0.6130653023719788,53,17.656461477279663
Synthetic-Heterophilous,GCN,0,0.03,edge_drop,,0.5879396796226501,58,15.690656661987305
Synthetic-Heterophilous,GCN,0,0.05,identity,,0.6658291220664978,55,18.124295711517334
Synthetic-Heterophilous,GCN,0,0.05,shuffled_features,,0.4522612988948822,20,10.070887804031372
Synthetic-Heterophilous,GCN,0,0.05,gaussian_features,0.1,0.660804033279419,55,18.29085922241211
Synthetic-Heterophilous,GCN,0,0.05,gaussian_features,0.3,0.660804033279419,53,17.957719564437866
Synthetic-Heterophilous,GCN,0,0.05,gaussian_features,0.5,0.6457286477088928,75,23.281121492385864
Synthetic-Heterophilous,GCN,0,0.05,edge_drop,,0.6381909251213074,39,11.777775049209595
Synthetic-Heterophilous,GCN,0,0.1,identity,,0.7236180901527405,29,12.453553438186646
Synthetic-Heterophilous,GCN,0,0.1,shuffled_features,,0.49497488141059875,63,20.88905930519104
Synthetic-Heterophilous,GCN,0,0.1,gaussian_features,0.1,0.7160804271697998,35,14.350332021713257
Synthetic-Heterophilous,GCN,0,0.1,gaussian_features,0.3,0.6934673190116882,34,13.653764009475708
Synthetic-Heterophilous,GCN,0,0.1,gaussian_features,0.5,0.69597989320755,40,15.11946177482605
Synthetic-Heterophilous,GCN,0,0.1,edge_drop,,0.643216073513031,55,15.42581582069397
Synthetic-Heterophilous,GCN,1,0.01,identity,,0.48370927572250366,21,10.46351146697998
Synthetic-Heterophilous,GCN,1,0.01,shuffled_features,,0.25814536213874817,49,17.565494775772095
Synthetic-Heterophilous,GCN,1,0.01,gaussian_features,0.1,0.49624061584472656,22,10.732487678527832
Synthetic-Heterophilous,GCN,1,0.01,gaussian_features,0.3,0.5338345766067505,17,8.920082092285156
Synthetic-Heterophilous,GCN,1,0.01,gaussian_features,0.5,0.5463659167289734,18,9.637208223342896
Synthetic-Heterophilous,GCN,1,0.01,edge_drop,,0.4060150384902954,19,8.325547218322754
Synthetic-Heterophilous,GCN,1,0.03,identity,,0.6416040062904358,31,12.852192163467407
Synthetic-Heterophilous,GCN,1,0.03,shuffled_features,,0.3333333432674408,43,15.654931545257568
Synthetic-Heterophilous,GCN,1,0.03,gaussian_features,0.1,0.6315789222717285,23,10.887493371963501
Synthetic-Heterophilous,GCN,1,0.03,gaussian_features,0.3,0.6315789222717285,28,12.17444658279419
Synthetic-Heterophilous,GCN,1,0.03,gaussian_features,0.5,0.6115288138389587,33,13.215873003005981
