dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
CiteSeer,GraphSAGE,0,0.01,Vanilla,,0.5840840935707092,107,1.1308190822601318
CiteSeer,GraphSAGE,0,0.01,Identity,,0.208708718419075,15,0.3938753604888916
CiteSeer,GraphSAGE,0,0.01,Shuffled,,0.22822824120521545,2,0.3456997871398926
CiteSeer,GraphSAGE,0,0.01,Gaussian,0.1,0.208708718419075,5,0.3911278247833252
CiteSeer,GraphSAGE,0,0.01,Gaussian,0.3,0.19519519805908203,8,0.4134235382080078
CiteSeer,GraphSAGE,0,0.01,Gaussian,0.5,0.2012012004852295,3,0.37780094146728516
CiteSeer,GraphSAGE,0,0.01,EdgeDrop,,0.5045045018196106,42,0.6327390670776367
CiteSeer,GraphSAGE,0,0.03,Vanilla,,0.6636636853218079,102,1.0627729892730713
CiteSeer,GraphSAGE,0,0.03,Identity,,0.25525525212287903,7,0.3595457077026367
CiteSeer,GraphSAGE,0,0.03,Shuffled,,0.2867867946624756,19,0.4661374092102051
CiteSeer,GraphSAGE,0,0.03,Gaussian,0.1,0.30630630254745483,6,0.40140271186828613
CiteSeer,GraphSAGE,0,0.03,Gaussian,0.3,0.26726728677749634,2,0.37297844886779785
CiteSeer,GraphSAGE,0,0.03,Gaussian,0.5,0.26276275515556335,2,0.37074804306030273
CiteSeer,GraphSAGE,0,0.03,EdgeDrop,,0.6216216087341309,44,0.6368155479431152
CiteSeer,GraphSAGE,0,0.05,Vanilla,,0.6891891956329346,48,0.6677484512329102
CiteSeer,GraphSAGE,0,0.05,Identity,,0.3078078031539917,8,0.3546738624572754
CiteSeer,GraphSAGE,0,0.05,Shuffled,,0.2957957983016968,18,0.46094179153442383
CiteSeer,GraphSAGE,0,0.05,Gaussian,0.1,0.36486488580703735,11,0.44226861000061035
CiteSeer,GraphSAGE,0,0.05,Gaussian,0.3,0.29729729890823364,3,0.378826379776001
CiteSeer,GraphSAGE,0,0.05,Gaussian,0.5,0.28378379344940186,2,0.3753328323364258
CiteSeer,GraphSAGE,0,0.05,EdgeDrop,,0.6351351737976074,25,0.5111110210418701
CiteSeer,GraphSAGE,0,0.1,Vanilla,,0.7252252697944641,26,0.5164155960083008
CiteSeer,GraphSAGE,0,0.1,Identity,,0.42492493987083435,9,0.35942745208740234
CiteSeer,GraphSAGE,0,0.1,Shuffled,,0.3288288414478302,106,1.078300952911377
CiteSeer,GraphSAGE,0,0.1,Gaussian,0.1,0.4279279410839081,10,0.44762635231018066
CiteSeer,GraphSAGE,0,0.1,Gaussian,0.3,0.3963963985443115,9,0.4312865734100342
CiteSeer,GraphSAGE,0,0.1,Gaussian,0.5,0.3213213384151459,2,0.3867990970611572
CiteSeer,GraphSAGE,0,0.1,EdgeDrop,,0.6981981992721558,29,0.5355575084686279
CiteSeer,GraphSAGE,1,0.01,Vanilla,,0.48948949575424194,90,0.9495460987091064
CiteSeer,GraphSAGE,1,0.01,Identity,,0.24474474787712097,24,0.4464094638824463
CiteSeer,GraphSAGE,1,0.01,Shuffled,,0.24174174666404724,10,0.40378618240356445
CiteSeer,GraphSAGE,1,0.01,Gaussian,0.1,0.24624624848365784,11,0.4363129138946533
CiteSeer,GraphSAGE,1,0.01,Gaussian,0.3,0.24024024605751038,2,0.37150049209594727
CiteSeer,GraphSAGE,1,0.01,Gaussian,0.5,0.24624624848365784,30,0.5728495121002197
CiteSeer,GraphSAGE,1,0.01,EdgeDrop,,0.4699699878692627,151,1.3621790409088135
CiteSeer,GraphSAGE,1,0.03,Vanilla,,0.6576576828956604,106,1.0571072101593018
