dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Cora,GraphSAGE,0,0.01,Vanilla,,0.5350553393363953,290,1.057337760925293
Cora,GraphSAGE,0,0.01,Identity,,0.38007381558418274,35,0.41323351860046387
Cora,GraphSAGE,0,0.01,Shuffled,,0.3191882073879242,19,0.2341756820678711
Cora,GraphSAGE,0,0.01,Gaussian,0.1,0.35424354672431946,5,0.18357181549072266
Cora,GraphSAGE,0,0.01,Gaussian,0.3,0.34317344427108765,13,0.21352910995483398
Cora,GraphSAGE,0,0.01,Gaussian,0.5,0.32103320956230164,4,0.18174242973327637
Cora,GraphSAGE,0,0.01,EdgeDrop,,0.5332103371620178,142,0.6546835899353027
Cora,GraphSAGE,0,0.03,Vanilla,,0.7103320956230164,79,0.4247863292694092
Cora,GraphSAGE,0,0.03,Identity,,0.3892988860607147,23,0.361555814743042
Cora,GraphSAGE,0,0.03,Shuffled,,0.35424354672431946,25,0.24882793426513672
Cora,GraphSAGE,0,0.03,Gaussian,0.1,0.4261992573738098,11,0.20427179336547852
Cora,GraphSAGE,0,0.03,Gaussian,0.3,0.3948339521884918,9,0.1965498924255371
Cora,GraphSAGE,0,0.03,Gaussian,0.5,0.36346864700317383,4,0.1829237937927246
Cora,GraphSAGE,0,0.03,EdgeDrop,,0.660516619682312,147,0.6750142574310303
Cora,GraphSAGE,0,0.05,Vanilla,,0.7527675628662109,26,0.2614712715148926
Cora,GraphSAGE,0,0.05,Identity,,0.42250922322273254,20,0.34015727043151855
Cora,GraphSAGE,0,0.05,Shuffled,,0.3726937174797058,24,0.2473292350769043
Cora,GraphSAGE,0,0.05,Gaussian,0.1,0.4520295262336731,13,0.22050786018371582
Cora,GraphSAGE,0,0.05,Gaussian,0.3,0.415129154920578,15,0.2169935703277588
Cora,GraphSAGE,0,0.05,Gaussian,0.5,0.40774908661842346,5,0.18512344360351562
Cora,GraphSAGE,0,0.05,EdgeDrop,,0.7287822961807251,111,0.551027774810791
Cora,GraphSAGE,0,0.1,Vanilla,,0.7878229022026062,86,0.5152041912078857
Cora,GraphSAGE,0,0.1,Identity,,0.5036900639533997,18,0.34853219985961914
Cora,GraphSAGE,0,0.1,Shuffled,,0.4132841229438782,126,0.661323070526123
Cora,GraphSAGE,0,0.1,Gaussian,0.1,0.5184502005577087,15,0.2574775218963623
Cora,GraphSAGE,0,0.1,Gaussian,0.3,0.4778597950935364,11,0.20983505249023438
Cora,GraphSAGE,0,0.1,Gaussian,0.5,0.446494460105896,11,0.21974802017211914
Cora,GraphSAGE,0,0.1,EdgeDrop,,0.76752769947052,71,0.41629719734191895
Cora,GraphSAGE,1,0.01,Vanilla,,0.5553505420684814,109,0.5346157550811768
Cora,GraphSAGE,1,0.01,Identity,,0.33763837814331055,26,0.37301039695739746
Cora,GraphSAGE,1,0.01,Shuffled,,0.30811807513237,19,0.24303245544433594
