dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
SyntheticHeterophilous,GraphSAGE,0,0.01,Vanilla,,0.2800000011920929,17,0.3301737308502197
SyntheticHeterophilous,GraphSAGE,0,0.01,Identity,,0.21249999105930328,15,1.584486961364746
SyntheticHeterophilous,GraphSAGE,0,0.01,Shuffled,,0.22749999165534973,2,0.19656133651733398
SyntheticHeterophilous,GraphSAGE,0,0.01,Gaussian,0.1,0.29499998688697815,16,0.25011277198791504
SyntheticHeterophilous,GraphSAGE,0,0.01,Gaussian,0.3,0.3075000047683716,7,0.21346354484558105
SyntheticHeterophilous,GraphSAGE,0,0.01,Gaussian,0.5,0.2775000035762787,9,0.22299790382385254
SyntheticHeterophilous,GraphSAGE,0,0.01,EdgeDrop,,0.29499998688697815,18,0.21725034713745117
SyntheticHeterophilous,GraphSAGE,0,0.03,Vanilla,,0.32999998331069946,14,0.239304780960083
SyntheticHeterophilous,GraphSAGE,0,0.03,Identity,,0.2524999976158142,14,1.5563111305236816
SyntheticHeterophilous,GraphSAGE,0,0.03,Shuffled,,0.20749999582767487,3,0.2028501033782959
SyntheticHeterophilous,GraphSAGE,0,0.03,Gaussian,0.1,0.32499998807907104,7,0.21380615234375
SyntheticHeterophilous,GraphSAGE,0,0.03,Gaussian,0.3,0.3349999785423279,6,0.21300101280212402
SyntheticHeterophilous,GraphSAGE,0,0.03,Gaussian,0.5,0.33249998092651367,19,0.2786071300506592
SyntheticHeterophilous,GraphSAGE,0,0.03,EdgeDrop,,0.3375000059604645,13,0.2213273048400879
SyntheticHeterophilous,GraphSAGE,0,0.05,Vanilla,,0.36249998211860657,14,0.25842761993408203
SyntheticHeterophilous,GraphSAGE,0,0.05,Identity,,0.2175000011920929,16,1.6112487316131592
SyntheticHeterophilous,GraphSAGE,0,0.05,Shuffled,,0.17499999701976776,6,0.21027207374572754
SyntheticHeterophilous,GraphSAGE,0,0.05,Gaussian,0.1,0.3824999928474426,5,0.21017813682556152
SyntheticHeterophilous,GraphSAGE,0,0.05,Gaussian,0.3,0.3649999797344208,9,0.22249245643615723
SyntheticHeterophilous,GraphSAGE,0,0.05,Gaussian,0.5,0.3449999988079071,10,0.2281785011291504
SyntheticHeterophilous,GraphSAGE,0,0.05,EdgeDrop,,0.375,17,0.21517634391784668
SyntheticHeterophilous,GraphSAGE,0,0.1,Vanilla,,0.4624999761581421,11,0.23302483558654785
SyntheticHeterophilous,GraphSAGE,0,0.1,Identity,,0.2524999976158142,16,1.5990116596221924
SyntheticHeterophilous,GraphSAGE,0,0.1,Shuffled,,0.20250000059604645,5,0.21171259880065918
SyntheticHeterophilous,GraphSAGE,0,0.1,Gaussian,0.1,0.4699999988079071,12,0.2458634376525879
SyntheticHeterophilous,GraphSAGE,0,0.1,Gaussian,0.3,0.4599999785423279,9,0.2272651195526123
SyntheticHeterophilous,GraphSAGE,0,0.1,Gaussian,0.5,0.42499998211860657,10,0.22910523414611816
SyntheticHeterophilous,GraphSAGE,0,0.1,EdgeDrop,,0.45749998092651367,15,0.21817970275878906
SyntheticHeterophilous,GraphSAGE,1,0.01,Vanilla,,0.2800000011920929,4,0.2053062915802002
SyntheticHeterophilous,GraphSAGE,1,0.01,Identity,,0.21249999105930328,18,1.649693250656128
SyntheticHeterophilous,GraphSAGE,1,0.01,Shuffled,,0.2175000011920929,2,0.19893693923950195
SyntheticHeterophilous,GraphSAGE,1,0.01,Gaussian,0.1,0.2574999928474426,5,0.2121877670288086
SyntheticHeterophilous,GraphSAGE,1,0.01,Gaussian,0.3,0.26999998092651367,6,0.21415090560913086
SyntheticHeterophilous,GraphSAGE,1,0.01,Gaussian,0.5,0.2474999874830246,9,0.22783851623535156
SyntheticHeterophilous,GraphSAGE,1,0.01,EdgeDrop,,0.2775000035762787,8,0.18685531616210938
SyntheticHeterophilous,GraphSAGE,1,0.03,Vanilla,,0.3375000059604645,4,0.20375657081604004
SyntheticHeterophilous,GraphSAGE,1,0.03,Identity,,0.2750000059604645,15,1.5828042030334473
SyntheticHeterophilous,GraphSAGE,1,0.03,Shuffled,,0.17749999463558197,2,0.20249629020690918
SyntheticHeterophilous,GraphSAGE,1,0.03,Gaussian,0.1,0.3174999952316284,4,0.20853400230407715
SyntheticHeterophilous,GraphSAGE,1,0.03,Gaussian,0.3,0.3400000035762787,4,0.21384334564208984
SyntheticHeterophilous,GraphSAGE,1,0.03,Gaussian,0.5,0.32999998331069946,3,0.21848011016845703
SyntheticHeterophilous,GraphSAGE,1,0.03,EdgeDrop,,0.3474999964237213,4,0.4347391128540039
SyntheticHeterophilous,GraphSAGE,1,0.05,Vanilla,,0.4099999964237213,11,0.2290191650390625
SyntheticHeterophilous,GraphSAGE,1,0.05,Identity,,0.21249999105930328,17,1.6857402324676514
SyntheticHeterophilous,GraphSAGE,1,0.05,Shuffled,,0.17249999940395355,2,0.19471049308776855
SyntheticHeterophilous,GraphSAGE,1,0.05,Gaussian,0.1,0.3974999785423279,4,0.20488429069519043
SyntheticHeterophilous,GraphSAGE,1,0.05,Gaussian,0.3,0.39499998092651367,5,0.20612168312072754
SyntheticHeterophilous,GraphSAGE,1,0.05,Gaussian,0.5,0.3774999976158142,5,0.20647430419921875
SyntheticHeterophilous,GraphSAGE,1,0.05,EdgeDrop,,0.4074999988079071,4,0.17238211631774902
SyntheticHeterophilous,GraphSAGE,1,0.1,Vanilla,,0.4650000035762787,10,0.22841620445251465
SyntheticHeterophilous,GraphSAGE,1,0.1,Identity,,0.23250000178813934,15,1.5733416080474854
SyntheticHeterophilous,GraphSAGE,1,0.1,Shuffled,,0.1599999964237213,6,0.21366453170776367
SyntheticHeterophilous,GraphSAGE,1,0.1,Gaussian,0.1,0.4449999928474426,8,0.21797871589660645
SyntheticHeterophilous,GraphSAGE,1,0.1,Gaussian,0.3,0.42499998211860657,11,0.22923588752746582
SyntheticHeterophilous,GraphSAGE,1,0.1,Gaussian,0.5,0.41999998688697815,4,0.2027139663696289
SyntheticHeterophilous,GraphSAGE,1,0.1,EdgeDrop,,0.4599999785423279,10,0.19619464874267578
SyntheticHeterophilous,GraphSAGE,2,0.01,Vanilla,,0.29999998211860657,3,0.1978929042816162
SyntheticHeterophilous,GraphSAGE,2,0.01,Identity,,0.21249999105930328,16,1.5965218544006348
SyntheticHeterophilous,GraphSAGE,2,0.01,Shuffled,,0.19499999284744263,106,0.5868909358978271
SyntheticHeterophilous,GraphSAGE,2,0.01,Gaussian,0.1,0.3024999797344208,3,0.19754552841186523
SyntheticHeterophilous,GraphSAGE,2,0.01,Gaussian,0.3,0.2874999940395355,3,0.20012474060058594
SyntheticHeterophilous,GraphSAGE,2,0.01,Gaussian,0.5,0.27250000834465027,3,0.19817852973937988
SyntheticHeterophilous,GraphSAGE,2,0.01,EdgeDrop,,0.29999998211860657,3,0.17804408073425293
SyntheticHeterophilous,GraphSAGE,2,0.03,Vanilla,,0.3375000059604645,4,0.2140355110168457
SyntheticHeterophilous,GraphSAGE,2,0.03,Identity,,0.21249999105930328,17,1.6378395557403564
SyntheticHeterophilous,GraphSAGE,2,0.03,Shuffled,,0.2199999988079071,7,0.21309566497802734
SyntheticHeterophilous,GraphSAGE,2,0.03,Gaussian,0.1,0.3349999785423279,4,0.20172381401062012
SyntheticHeterophilous,GraphSAGE,2,0.03,Gaussian,0.3,0.29499998688697815,3,0.20234036445617676
SyntheticHeterophilous,GraphSAGE,2,0.03,Gaussian,0.5,0.2750000059604645,3,0.19843196868896484
SyntheticHeterophilous,GraphSAGE,2,0.03,EdgeDrop,,0.35749998688697815,4,0.17259573936462402
SyntheticHeterophilous,GraphSAGE,2,0.05,Vanilla,,0.35249999165534973,6,0.20990538597106934
SyntheticHeterophilous,GraphSAGE,2,0.05,Identity,,0.2149999886751175,13,1.5244925022125244
SyntheticHeterophilous,GraphSAGE,2,0.05,Shuffled,,0.1850000023841858,2,0.19425082206726074
SyntheticHeterophilous,GraphSAGE,2,0.05,Gaussian,0.1,0.35249999165534973,6,0.20868396759033203
SyntheticHeterophilous,GraphSAGE,2,0.05,Gaussian,0.3,0.3199999928474426,4,0.2041645050048828
SyntheticHeterophilous,GraphSAGE,2,0.05,Gaussian,0.5,0.3100000023841858,5,0.20510435104370117
SyntheticHeterophilous,GraphSAGE,2,0.05,EdgeDrop,,0.35499998927116394,6,0.17715668678283691
SyntheticHeterophilous,GraphSAGE,2,0.1,Vanilla,,0.44749999046325684,5,0.2052016258239746
SyntheticHeterophilous,GraphSAGE,2,0.1,Identity,,0.21249999105930328,9,1.428436040878296
SyntheticHeterophilous,GraphSAGE,2,0.1,Shuffled,,0.2199999988079071,9,0.22089695930480957
SyntheticHeterophilous,GraphSAGE,2,0.1,Gaussian,0.1,0.429999977350235,6,0.20953750610351562
SyntheticHeterophilous,GraphSAGE,2,0.1,Gaussian,0.3,0.38749998807907104,6,0.21206879615783691
SyntheticHeterophilous,GraphSAGE,2,0.1,Gaussian,0.5,0.36249998211860657,5,0.20570063591003418
SyntheticHeterophilous,GraphSAGE,2,0.1,EdgeDrop,,0.4399999976158142,6,0.17913484573364258
SyntheticHeterophilous,GraphSAGE,3,0.01,Vanilla,,0.29999998211860657,7,0.2124640941619873
SyntheticHeterophilous,GraphSAGE,3,0.01,Identity,,0.21249999105930328,19,1.6686673164367676
SyntheticHeterophilous,GraphSAGE,3,0.01,Shuffled,,0.19249999523162842,5,0.2047584056854248
SyntheticHeterophilous,GraphSAGE,3,0.01,Gaussian,0.1,0.2874999940395355,4,0.2022993564605713
SyntheticHeterophilous,GraphSAGE,3,0.01,Gaussian,0.3,0.29999998211860657,3,0.2166903018951416
SyntheticHeterophilous,GraphSAGE,3,0.01,Gaussian,0.5,0.29249998927116394,11,0.23893976211547852
SyntheticHeterophilous,GraphSAGE,3,0.01,EdgeDrop,,0.29749998450279236,7,0.19936585426330566
SyntheticHeterophilous,GraphSAGE,3,0.03,Vanilla,,0.3425000011920929,4,0.21906709671020508
