dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
CiteSeer,GAT,0,0.01,Vanilla,NA,0.5285285711288452,108,1.310056209564209,2.4451420307159424,0.30564048886299133
CiteSeer,GAT,0,0.01,Identity,NA,0.20570571720600128,76,1.0414152145385742,2.4412178993225098,0.3056507706642151
CiteSeer,GAT,0,0.01,Shuffled,NA,0.23423424363136292,248,2.4907898902893066,2.444796085357666,0.30564022064208984
CiteSeer,GAT,0,0.01,Gaussian,0.1,0.24924924969673157,60,0.9776389598846436,2.3954787254333496,0.3053719699382782
CiteSeer,GAT,0,0.01,Gaussian,0.3,0.24174174666404724,232,2.0030508041381836,2.178480625152588,0.302081823348999
CiteSeer,GAT,0,0.01,Gaussian,0.5,0.2177177220582962,154,1.5161995887756348,1.5175983905792236,0.2545464336872101
CiteSeer,GAT,0,0.01,EdgeDrop,NA,0.5060060024261475,250,2.098029613494873,2.4491968154907227,0.3061419427394867
CiteSeer,GAT,0,0.03,Vanilla,NA,0.6801801919937134,166,1.608407735824585,2.445225477218628,0.3056131601333618
CiteSeer,GAT,0,0.03,Identity,NA,0.35735735297203064,76,1.0278940200805664,2.4391462802886963,0.30567172169685364
CiteSeer,GAT,0,0.03,Shuffled,NA,0.31831833720207214,177,1.9705348014831543,2.4451794624328613,0.30531808733940125
CiteSeer,GAT,0,0.03,Gaussian,0.1,0.3363363444805145,166,1.673743724822998,2.390585422515869,0.3055904507637024
CiteSeer,GAT,0,0.03,Gaussian,0.3,0.3558558523654938,124,1.347090721130371,2.2827064990997314,0.30529096722602844
CiteSeer,GAT,0,0.03,Gaussian,0.5,0.33933934569358826,166,1.6113207340240479,1.9926258325576782,0.30320432782173157
CiteSeer,GAT,0,0.03,EdgeDrop,NA,0.6546546816825867,150,1.4771175384521484,2.449345588684082,0.30596625804901123
CiteSeer,GAT,0,0.05,Vanilla,NA,0.695195198059082,137,1.426825761795044,2.4452896118164062,0.30556967854499817
CiteSeer,GAT,0,0.05,Identity,NA,0.4654654860496521,113,1.2445132732391357,2.4353082180023193,0.3056786358356476
CiteSeer,GAT,0,0.05,Shuffled,NA,0.3843843936920166,316,2.716961622238159,2.44518780708313,0.3055366277694702
CiteSeer,GAT,0,0.05,Gaussian,0.1,0.41741743683815,73,1.2009780406951904,2.38696551322937,0.30544722080230713
CiteSeer,GAT,0,0.05,Gaussian,0.3,0.41741743683815,198,1.8225963115692139,2.3189213275909424,0.30536654591560364
CiteSeer,GAT,0,0.05,Gaussian,0.5,0.41291293501853943,422,3.143732786178589,2.231804370880127,0.30527737736701965
CiteSeer,GAT,0,0.05,EdgeDrop,NA,0.6696696877479553,137,1.3977172374725342,2.4493680000305176,0.30573770403862
CiteSeer,GAT,0,0.1,Vanilla,NA,0.7132132053375244,108,1.283224105834961,2.4452946186065674,0.30561402440071106
CiteSeer,GAT,0,0.1,Identity,NA,0.5255255103111267,94,1.151064395904541,2.4353597164154053,0.30566486716270447
CiteSeer,GAT,0,0.1,Shuffled,NA,0.4264264404773712,232,2.3329660892486572,2.4453284740448,0.30506443977355957
CiteSeer,GAT,0,0.1,Gaussian,0.1,0.4654654860496521,168,1.6861615180969238,2.398988962173462,0.30548450350761414
CiteSeer,GAT,0,0.1,Gaussian,0.3,0.4744744896888733,244,2.095207929611206,2.3680007457733154,0.3054790198802948
CiteSeer,GAT,0,0.1,Gaussian,0.5,0.4699699878692627,443,3.2889621257781982,2.337202548980713,0.30543795228004456
CiteSeer,GAT,0,0.1,EdgeDrop,NA,0.7192192077636719,96,1.1810939311981201,2.449388265609741,0.3059175908565521
CiteSeer,GAT,1,0.01,Vanilla,NA,0.5690690875053406,233,2.050440788269043,2.4451255798339844,0.30565720796585083
CiteSeer,GAT,1,0.01,Identity,NA,0.3078078031539917,366,3.1113486289978027,2.432959794998169,0.30564576387405396
CiteSeer,GAT,1,0.01,Shuffled,NA,0.2567567527294159,122,1.3443806171417236,2.444937229156494,0.3054795563220978
CiteSeer,GAT,1,0.01,Gaussian,0.1,0.28378379344940186,81,1.084890365600586,2.4097559452056885,0.3054478168487549
CiteSeer,GAT,1,0.01,Gaussian,0.3,0.3033033013343811,247,2.1048359870910645,2.233812093734741,0.30415892601013184
CiteSeer,GAT,1,0.01,Gaussian,0.5,0.27477478981018066,207,1.8915526866912842,1.6189517974853516,0.2476307898759842
CiteSeer,GAT,1,0.01,EdgeDrop,NA,0.5510510802268982,176,1.658067226409912,2.4445512294769287,0.30555179715156555
CiteSeer,GAT,1,0.03,Vanilla,NA,0.6486486792564392,233,2.4172544479370117,2.44525146484375,0.30566689372062683
