dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2,rep_variance
CiteSeer,GAT,0,0.01,Vanilla,NA,0.5285285711288452,108,1.214730978012085,2.4451420307159424,0.30564048886299133,0.1988489329814911
CiteSeer,GAT,0,0.01,Identity,NA,0.20570571720600128,76,0.9731664657592773,2.4412178993225098,0.3056507706642151,0.10716569423675537
CiteSeer,GAT,0,0.01,Shuffled,NA,0.23423424363136292,248,2.5101065635681152,2.444796085357666,0.30564022064208984,0.0947519987821579
CiteSeer,GAT,0,0.01,Gaussian,0.1,0.24924924969673157,60,0.9009442329406738,2.395476818084717,0.3053719103336334,0.9578709006309509
CiteSeer,GAT,0,0.01,Gaussian,0.3,0.23723724484443665,73,0.9852297306060791,2.1321487426757812,0.3005014955997467,1.8998750448226929
CiteSeer,GAT,0,0.01,Gaussian,0.5,0.22072072327136993,142,1.6303305625915527,1.5151877403259277,0.2665250897407532,4.616469860076904
CiteSeer,GAT,0,0.01,EdgeDrop,NA,0.5060060024261475,250,2.1955454349517822,2.4491968154907227,0.3061419427394867,0.24669554829597473
CiteSeer,GAT,0,0.03,Vanilla,NA,0.6801801919937134,166,1.5277905464172363,2.445225477218628,0.3056131601333618,0.4162476658821106
CiteSeer,GAT,0,0.03,Identity,NA,0.35735735297203064,76,0.9762485027313232,2.4391462802886963,0.30567172169685364,0.263477087020874
CiteSeer,GAT,0,0.03,Shuffled,NA,0.31831833720207214,177,1.608774185180664,2.4451794624328613,0.30531808733940125,0.12012764811515808
CiteSeer,GAT,0,0.03,Gaussian,0.1,0.3363363444805145,166,1.490602970123291,2.390585422515869,0.3055904507637024,2.460660457611084
CiteSeer,GAT,0,0.03,Gaussian,0.3,0.3558558523654938,124,1.3032407760620117,2.281406879425049,0.30529987812042236,3.2251574993133545
CiteSeer,GAT,0,0.03,Gaussian,0.5,0.3498498499393463,299,2.444596290588379,2.0833029747009277,0.3049764037132263,4.105014324188232
CiteSeer,GAT,0,0.03,EdgeDrop,NA,0.6546546816825867,150,1.9005775451660156,2.449345588684082,0.30596625804901123,0.3298655152320862
CiteSeer,GAT,0,0.05,Vanilla,NA,0.695195198059082,137,1.79779052734375,2.4452896118164062,0.30556967854499817,0.5102138519287109
CiteSeer,GAT,0,0.05,Identity,NA,0.4654654860496521,113,1.1800334453582764,2.4353082180023193,0.3056786358356476,0.4292728900909424
CiteSeer,GAT,0,0.05,Shuffled,NA,0.3843843936920166,316,2.4118127822875977,2.44518780708313,0.3055366277694702,0.17897248268127441
CiteSeer,GAT,0,0.05,Gaussian,0.1,0.41741743683815,73,0.9920847415924072,2.38696551322937,0.30544722080230713,2.7565181255340576
CiteSeer,GAT,0,0.05,Gaussian,0.3,0.41741743683815,198,1.695500373840332,2.319089651107788,0.3053582012653351,4.93526029586792
CiteSeer,GAT,0,0.05,Gaussian,0.5,0.4264264404773712,422,3.3787713050842285,2.250568151473999,0.30538877844810486,6.141246795654297
CiteSeer,GAT,0,0.05,EdgeDrop,NA,0.6696696877479553,137,1.3329095840454102,2.4493680000305176,0.30573770403862,0.43484658002853394
CiteSeer,GAT,0,0.1,Vanilla,NA,0.7132132053375244,108,1.1771361827850342,2.4452946186065674,0.30561402440071106,0.5867071747779846
CiteSeer,GAT,0,0.1,Identity,NA,0.5255255103111267,94,1.0856304168701172,2.4353597164154053,0.30566486716270447,0.5262893438339233
CiteSeer,GAT,0,0.1,Shuffled,NA,0.4264264404773712,232,1.8884320259094238,2.4453284740448,0.30506443977355957,0.13950404524803162
CiteSeer,GAT,0,0.1,Gaussian,0.1,0.46696698665618896,135,1.3440449237823486,2.3991575241088867,0.30546116828918457,3.9306459426879883
CiteSeer,GAT,0,0.1,Gaussian,0.3,0.4744744896888733,244,1.9638173580169678,2.3724112510681152,0.3055039048194885,6.612950801849365
CiteSeer,GAT,0,0.1,Gaussian,0.5,0.47597599029541016,194,1.8639085292816162,2.27563738822937,0.3051968812942505,4.708709716796875
CiteSeer,GAT,0,0.1,EdgeDrop,NA,0.7192192077636719,96,1.348005771636963,2.449388265609741,0.3059175908565521,0.4816240668296814
CiteSeer,GAT,1,0.01,Vanilla,NA,0.5690690875053406,233,1.8855316638946533,2.4451253414154053,0.30565720796585083,0.3087846636772156
CiteSeer,GAT,1,0.01,Identity,NA,0.3078078031539917,366,2.591921329498291,2.432959794998169,0.30564576387405396,0.24317613244056702
CiteSeer,GAT,1,0.01,Shuffled,NA,0.2567567527294159,122,1.268174648284912,2.444937229156494,0.30547958612442017,0.06594309955835342
CiteSeer,GAT,1,0.01,Gaussian,0.1,0.28378379344940186,81,1.0227141380310059,2.4097559452056885,0.3054478168487549,0.9255889654159546
CiteSeer,GAT,1,0.01,Gaussian,0.3,0.2777777910232544,133,1.3283424377441406,2.217803478240967,0.3038634657859802,2.279256582260132
CiteSeer,GAT,1,0.01,Gaussian,0.5,0.2432432472705841,166,1.5102756023406982,1.6381443738937378,0.26140281558036804,5.784441947937012
CiteSeer,GAT,1,0.01,EdgeDrop,NA,0.5510510802268982,176,1.9461264610290527,2.4445512294769287,0.30555179715156555,0.25288066267967224
CiteSeer,GAT,1,0.03,Vanilla,NA,0.6486486792564392,233,1.8764965534210205,2.44525146484375,0.30566689372062683,0.49700927734375
CiteSeer,GAT,1,0.03,Identity,NA,0.39489489793777466,322,2.3007750511169434,2.4317686557769775,0.3056769371032715,0.37572789192199707
CiteSeer,GAT,1,0.03,Shuffled,NA,0.2867867946624756,204,1.7277119159698486,2.4450507164001465,0.30528774857521057,0.11379072070121765
CiteSeer,GAT,1,0.03,Gaussian,0.1,0.3243243396282196,110,1.1736183166503906,2.4018170833587646,0.3054053485393524,1.7984880208969116
CiteSeer,GAT,1,0.03,Gaussian,0.3,0.32282283902168274,247,1.9571926593780518,2.3130099773406982,0.30537092685699463,3.7801856994628906
CiteSeer,GAT,1,0.03,Gaussian,0.5,0.3213213384151459,290,2.540229320526123,2.1534547805786133,0.3052392601966858,4.404497146606445
CiteSeer,GAT,1,0.03,EdgeDrop,NA,0.6456456780433655,176,1.6088042259216309,2.444559335708618,0.30557477474212646,0.39770883321762085
CiteSeer,GAT,1,0.05,Vanilla,NA,0.6786786913871765,213,1.791053056716919,2.4453344345092773,0.3056667745113373,0.5467125177383423
CiteSeer,GAT,1,0.05,Identity,NA,0.4444444477558136,322,2.36311674118042,2.430474281311035,0.30567270517349243,0.4812006652355194
CiteSeer,GAT,1,0.05,Shuffled,NA,0.33183184266090393,204,1.7477142810821533,2.445267915725708,0.30533134937286377,0.11866484582424164
CiteSeer,GAT,1,0.05,Gaussian,0.1,0.3708708882331848,261,2.078533411026001,2.4045543670654297,0.30557167530059814,3.1549365520477295
CiteSeer,GAT,1,0.05,Gaussian,0.3,0.3543543517589569,375,3.0988404750823975,2.3711235523223877,0.30543482303619385,5.647967338562012
CiteSeer,GAT,1,0.05,Gaussian,0.5,0.35285285115242004,375,2.707111120223999,2.2879559993743896,0.3053073585033417,5.1218109130859375
CiteSeer,GAT,1,0.05,EdgeDrop,NA,0.6786786913871765,236,1.892667293548584,2.444563388824463,0.30555015802383423,0.49151718616485596
CiteSeer,GAT,1,0.1,Vanilla,NA,0.7147147059440613,143,1.3688037395477295,2.4453558921813965,0.30567076802253723,0.5466168522834778
CiteSeer,GAT,1,0.1,Identity,NA,0.47597599029541016,55,0.8666162490844727,2.4377636909484863,0.3055016100406647,0.42143332958221436
CiteSeer,GAT,1,0.1,Shuffled,NA,0.4099099338054657,204,1.733478307723999,2.445389986038208,0.30538827180862427,0.11648094654083252
CiteSeer,GAT,1,0.1,Gaussian,0.1,0.41141143441200256,88,1.1870789527893066,2.4065418243408203,0.30542680621147156,3.2527787685394287
CiteSeer,GAT,1,0.1,Gaussian,0.3,0.3918918967247009,189,1.9535589218139648,2.364741325378418,0.30544936656951904,5.035652160644531
CiteSeer,GAT,1,0.1,Gaussian,0.5,0.39939939975738525,211,1.7854182720184326,2.2861595153808594,0.30537131428718567,4.390445709228516
CiteSeer,GAT,1,0.1,EdgeDrop,NA,0.7042042016983032,236,1.9084677696228027,2.4445886611938477,0.30555370450019836,0.5755966901779175
CiteSeer,GAT,2,0.01,Vanilla,NA,0.5885885953903198,106,1.1902012825012207,2.4453136920928955,0.30541297793388367,0.18528108298778534
CiteSeer,GAT,2,0.01,Identity,NA,0.3153153359889984,261,1.990039348602295,2.438549757003784,0.30567172169685364,0.1639000028371811
CiteSeer,GAT,2,0.01,Shuffled,NA,0.24924924969673157,69,0.9644885063171387,2.4453177452087402,0.3050675094127655,0.037093594670295715
CiteSeer,GAT,2,0.01,Gaussian,0.1,0.30480480194091797,183,1.6063270568847656,2.4087445735931396,0.30523574352264404,1.069511890411377
CiteSeer,GAT,2,0.01,Gaussian,0.3,0.28828829526901245,134,1.6268022060394287,2.078145980834961,0.3010135889053345,2.2524421215057373
CiteSeer,GAT,2,0.01,Gaussian,0.5,0.25375375151634216,599,4.054724454879761,1.5862152576446533,0.2892742455005646,8.432825088500977
CiteSeer,GAT,2,0.01,EdgeDrop,NA,0.5810810923576355,312,2.3073031902313232,2.450063705444336,0.30624938011169434,0.280661016702652
CiteSeer,GAT,2,0.03,Vanilla,NA,0.662162184715271,342,2.4887635707855225,2.4453670978546143,0.3056713938713074,0.539493978023529
