dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
CiteSeer,GAT,0,0.01,Vanilla,NA,0.5285285711288452,108,1.2112317085266113
CiteSeer,GAT,0,0.01,Identity,NA,0.20570571720600128,76,0.9815008640289307
CiteSeer,GAT,0,0.01,Shuffled,NA,0.23423424363136292,248,2.008945941925049
CiteSeer,GAT,0,0.01,Gaussian,0.1,0.24924924969673157,60,0.9635469913482666
CiteSeer,GAT,0,0.01,Gaussian,0.3,0.2387387454509735,73,1.212770938873291
CiteSeer,GAT,0,0.01,Gaussian,0.5,0.21471472084522247,121,1.3862087726593018
CiteSeer,GAT,0,0.01,EdgeDrop,NA,0.5060060024261475,250,2.0251624584198
CiteSeer,GAT,0,0.03,Vanilla,NA,0.6801801919937134,166,1.52984619140625
CiteSeer,GAT,0,0.03,Identity,NA,0.35735735297203064,76,0.9851703643798828
CiteSeer,GAT,0,0.03,Shuffled,NA,0.31831833720207214,177,1.5786378383636475
CiteSeer,GAT,0,0.03,Gaussian,0.1,0.3363363444805145,166,1.5375018119812012
CiteSeer,GAT,0,0.03,Gaussian,0.3,0.3558558523654938,124,1.279620885848999
CiteSeer,GAT,0,0.03,Gaussian,0.5,0.3333333432674408,166,1.8752613067626953
CiteSeer,GAT,0,0.03,EdgeDrop,NA,0.6546546816825867,150,1.4382083415985107
CiteSeer,GAT,0,0.05,Vanilla,NA,0.695195198059082,137,1.3657069206237793
CiteSeer,GAT,0,0.05,Identity,NA,0.4654654860496521,113,1.2022509574890137
CiteSeer,GAT,0,0.05,Shuffled,NA,0.3843843936920166,316,2.3938357830047607
CiteSeer,GAT,0,0.05,Gaussian,0.1,0.41741743683815,73,0.9967234134674072
CiteSeer,GAT,0,0.05,Gaussian,0.3,0.4144144356250763,208,1.7964253425598145
CiteSeer,GAT,0,0.05,Gaussian,0.5,0.42492493987083435,422,3.3741343021392822
CiteSeer,GAT,0,0.05,EdgeDrop,NA,0.6696696877479553,137,1.3723900318145752
CiteSeer,GAT,0,0.1,Vanilla,NA,0.7132132053375244,108,1.1855690479278564
CiteSeer,GAT,0,0.1,Identity,NA,0.5255255103111267,94,1.0970163345336914
CiteSeer,GAT,0,0.1,Shuffled,NA,0.4264264404773712,232,1.9184298515319824
CiteSeer,GAT,0,0.1,Gaussian,0.1,0.4654654860496521,168,1.5452165603637695
CiteSeer,GAT,0,0.1,Gaussian,0.3,0.4699699878692627,244,2.0743300914764404
CiteSeer,GAT,0,0.1,Gaussian,0.5,0.46696698665618896,477,3.6427431106567383
CiteSeer,GAT,0,0.1,EdgeDrop,NA,0.7192192077636719,96,1.1287591457366943
CiteSeer,GAT,1,0.01,Vanilla,NA,0.5690690875053406,233,1.9039020538330078
CiteSeer,GAT,1,0.01,Identity,NA,0.3078078031539917,366,2.5947964191436768
CiteSeer,GAT,1,0.01,Shuffled,NA,0.2567567527294159,122,1.2685863971710205
CiteSeer,GAT,1,0.01,Gaussian,0.1,0.28378379344940186,81,1.0857782363891602
CiteSeer,GAT,1,0.01,Gaussian,0.3,0.2867867946624756,218,2.1104209423065186
CiteSeer,GAT,1,0.01,Gaussian,0.5,0.2387387454509735,99,1.1549479961395264
CiteSeer,GAT,1,0.01,EdgeDrop,NA,0.5510510802268982,176,1.5940263271331787
CiteSeer,GAT,1,0.03,Vanilla,NA,0.6486486792564392,233,1.8999474048614502
CiteSeer,GAT,1,0.03,Identity,NA,0.39489489793777466,322,2.3718361854553223
CiteSeer,GAT,1,0.03,Shuffled,NA,0.2867867946624756,204,1.7367687225341797
CiteSeer,GAT,1,0.03,Gaussian,0.1,0.3243243396282196,110,1.3581621646881104
CiteSeer,GAT,1,0.03,Gaussian,0.3,0.3243243396282196,247,2.180478572845459
CiteSeer,GAT,1,0.03,Gaussian,0.5,0.3213213384151459,290,2.248762607574463
CiteSeer,GAT,1,0.03,EdgeDrop,NA,0.6456456780433655,176,1.5695459842681885
CiteSeer,GAT,1,0.05,Vanilla,NA,0.6786786913871765,213,1.8052353858947754
CiteSeer,GAT,1,0.05,Identity,NA,0.4444444477558136,322,2.378591537475586
CiteSeer,GAT,1,0.05,Shuffled,NA,0.33183184266090393,204,1.9954643249511719
CiteSeer,GAT,1,0.05,Gaussian,0.1,0.3708708882331848,261,2.161588430404663
CiteSeer,GAT,1,0.05,Gaussian,0.3,0.3558558523654938,375,2.7055153846740723
CiteSeer,GAT,1,0.05,Gaussian,0.5,0.33483484387397766,261,2.080674409866333
CiteSeer,GAT,1,0.05,EdgeDrop,NA,0.6786786913871765,236,1.9088795185089111
CiteSeer,GAT,1,0.1,Vanilla,NA,0.7147147059440613,143,1.4013712406158447
CiteSeer,GAT,1,0.1,Identity,NA,0.47597599029541016,55,1.0462684631347656
CiteSeer,GAT,1,0.1,Shuffled,NA,0.4099099338054657,204,1.9398329257965088
CiteSeer,GAT,1,0.1,Gaussian,0.1,0.41741743683815,88,1.0824816226959229
CiteSeer,GAT,1,0.1,Gaussian,0.3,0.3918918967247009,189,1.6765148639678955
CiteSeer,GAT,1,0.1,Gaussian,0.5,0.3978978991508484,213,1.8075194358825684
CiteSeer,GAT,1,0.1,EdgeDrop,NA,0.7042042016983032,236,1.9150974750518799
CiteSeer,GAT,2,0.01,Vanilla,NA,0.5885885953903198,106,1.1858439445495605
CiteSeer,GAT,2,0.01,Identity,NA,0.3153153359889984,261,2.214198112487793
CiteSeer,GAT,2,0.01,Shuffled,NA,0.24924924969673157,69,1.1236302852630615
CiteSeer,GAT,2,0.01,Gaussian,0.1,0.30480480194091797,183,1.6331517696380615
CiteSeer,GAT,2,0.01,Gaussian,0.3,0.2897897958755493,134,1.3402104377746582
CiteSeer,GAT,2,0.01,Gaussian,0.5,0.23123124241828918,90,1.0812528133392334
