dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Cora,GAT,0,0.01,Vanilla,NA,0.5701106786727905,486,3.9038734436035156
Cora,GAT,0,0.01,Identity,NA,0.5147601366043091,248,1.8672425746917725
Cora,GAT,0,0.01,Shuffled,NA,0.3892988860607147,275,1.8598005771636963
Cora,GAT,0,0.01,Gaussian,0.1,0.46125462651252747,194,1.7571029663085938
Cora,GAT,0,0.01,Gaussian,0.3,0.43357935547828674,293,2.0947253704071045
Cora,GAT,0,0.01,Gaussian,0.5,0.4243542551994324,293,2.056846857070923
Cora,GAT,0,0.01,EdgeDrop,NA,0.5940959453582764,228,1.662998914718628
Cora,GAT,0,0.03,Vanilla,NA,0.7638376355171204,558,4.585210084915161
Cora,GAT,0,0.03,Identity,NA,0.6383764147758484,174,2.6988301277160645
Cora,GAT,0,0.03,Shuffled,NA,0.5018450021743774,378,2.3902266025543213
Cora,GAT,0,0.03,Gaussian,0.1,0.5608856081962585,205,1.5098843574523926
Cora,GAT,0,0.03,Gaussian,0.3,0.5313653349876404,213,1.5734949111938477
Cora,GAT,0,0.03,Gaussian,0.5,0.553505539894104,322,2.5722944736480713
Cora,GAT,0,0.03,EdgeDrop,NA,0.7361623644828796,185,1.4279224872589111
Cora,GAT,0,0.05,Vanilla,NA,0.785977840423584,248,2.21537709236145
Cora,GAT,0,0.05,Identity,NA,0.6568265557289124,162,1.408581256866455
Cora,GAT,0,0.05,Shuffled,NA,0.5369004011154175,377,2.368868589401245
Cora,GAT,0,0.05,Gaussian,0.1,0.6014760136604309,122,1.127267837524414
Cora,GAT,0,0.05,Gaussian,0.3,0.5867158770561218,297,2.0286827087402344
Cora,GAT,0,0.05,Gaussian,0.5,0.5793358087539673,322,2.0704259872436523
Cora,GAT,0,0.05,EdgeDrop,NA,0.7693727016448975,409,2.9601597785949707
Cora,GAT,0,0.1,Vanilla,NA,0.8597785830497742,249,1.74051833152771
Cora,GAT,0,0.1,Identity,NA,0.7250922322273254,162,1.40828275680542
Cora,GAT,0,0.1,Shuffled,NA,0.5645756721496582,311,2.037623643875122
Cora,GAT,0,0.1,Gaussian,0.1,0.6974169611930847,120,1.091831922531128
Cora,GAT,0,0.1,Gaussian,0.3,0.6771217584609985,297,1.9672632217407227
Cora,GAT,0,0.1,Gaussian,0.5,0.6918819546699524,155,1.2546663284301758
Cora,GAT,0,0.1,EdgeDrop,NA,0.8284133076667786,184,1.7458341121673584
Cora,GAT,1,0.01,Vanilla,NA,0.7324723601341248,316,2.206516981124878
Cora,GAT,1,0.01,Identity,NA,0.44464945793151855,109,1.1243896484375
Cora,GAT,1,0.01,Shuffled,NA,0.3819188177585602,199,1.4805941581726074
Cora,GAT,1,0.01,Gaussian,0.1,0.4095940887928009,79,0.8887307643890381
Cora,GAT,1,0.01,Gaussian,0.3,0.39667898416519165,122,1.1086320877075195
Cora,GAT,1,0.01,Gaussian,0.5,0.37453874945640564,276,1.8752713203430176
Cora,GAT,1,0.01,EdgeDrop,NA,0.6918819546699524,448,3.020815134048462
Cora,GAT,1,0.03,Vanilla,NA,0.7896679043769836,420,2.747087001800537
Cora,GAT,1,0.03,Identity,NA,0.6014760136604309,239,1.8092386722564697
