dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Synthetic-Heterophilous,GAT,0,0.01,Vanilla,NA,0.21249999105930328,4,0.9502527713775635
Synthetic-Heterophilous,GAT,0,0.01,Identity,NA,0.21249999105930328,97,1.705369472503662
Synthetic-Heterophilous,GAT,0,0.01,Shuffled,NA,0.21249999105930328,70,1.4406218528747559
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.1,0.2224999964237213,396,4.389090299606323
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.3,0.3400000035762787,474,4.833446025848389
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.5,0.26249998807907104,129,1.9357576370239258
Synthetic-Heterophilous,GAT,0,0.01,EdgeDrop,NA,0.367499977350235,302,3.1353702545166016
Synthetic-Heterophilous,GAT,0,0.03,Vanilla,NA,0.4599999785423279,492,5.04659628868103
Synthetic-Heterophilous,GAT,0,0.03,Identity,NA,0.19749999046325684,78,1.560323715209961
Synthetic-Heterophilous,GAT,0,0.03,Shuffled,NA,0.2224999964237213,108,1.7628722190856934
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.1,0.3375000059604645,498,5.286590099334717
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.3,0.375,810,7.70305609703064
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.5,0.26749998331069946,38,1.1633093357086182
Synthetic-Heterophilous,GAT,0,0.03,EdgeDrop,NA,0.42249998450279236,521,4.756248235702515
Synthetic-Heterophilous,GAT,0,0.05,Vanilla,NA,0.5224999785423279,670,6.461712598800659
Synthetic-Heterophilous,GAT,0,0.05,Identity,NA,0.19749999046325684,259,3.277782917022705
Synthetic-Heterophilous,GAT,0,0.05,Shuffled,NA,0.2750000059604645,229,2.7557294368743896
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.1,0.5649999976158142,483,4.898377180099487
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.3,0.5625,698,6.90633487701416
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.5,0.4350000023841858,835,7.908261299133301
Synthetic-Heterophilous,GAT,0,0.05,EdgeDrop,NA,0.4325000047683716,441,4.078337669372559
Synthetic-Heterophilous,GAT,0,0.1,Vanilla,NA,0.6024999618530273,421,4.36681056022644
Synthetic-Heterophilous,GAT,0,0.1,Identity,NA,0.19749999046325684,449,4.93645715713501
Synthetic-Heterophilous,GAT,0,0.1,Shuffled,NA,0.23999999463558197,568,5.6410815715789795
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.1,0.6200000047683716,761,7.439041614532471
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.3,0.47749999165534973,653,6.350353240966797
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.5,0.6074999570846558,731,7.1766273975372314
Synthetic-Heterophilous,GAT,0,0.1,EdgeDrop,NA,0.4650000035762787,528,4.586906671524048
Synthetic-Heterophilous,GAT,1,0.01,Vanilla,NA,0.2449999898672104,338,3.7581121921539307
Synthetic-Heterophilous,GAT,1,0.01,Identity,NA,0.25999999046325684,84,1.7475590705871582
Synthetic-Heterophilous,GAT,1,0.01,Shuffled,NA,0.26499998569488525,93,1.6055855751037598
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.1,0.23749999701976776,60,1.3381288051605225
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.3,0.26749998331069946,152,2.0919153690338135
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.5,0.20499999821186066,269,3.07387638092041
Synthetic-Heterophilous,GAT,1,0.01,EdgeDrop,NA,0.20499999821186066,198,2.2182416915893555
Synthetic-Heterophilous,GAT,1,0.03,Vanilla,NA,0.44749999046325684,354,3.9384589195251465
Synthetic-Heterophilous,GAT,1,0.03,Identity,NA,0.2449999898672104,82,1.5689656734466553
Synthetic-Heterophilous,GAT,1,0.03,Shuffled,NA,0.2750000059604645,28,1.0740184783935547
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.1,0.4050000011920929,220,2.7046000957489014
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.3,0.48249998688697815,464,4.915791273117065
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.5,0.4724999964237213,616,6.023396968841553
Synthetic-Heterophilous,GAT,1,0.03,EdgeDrop,NA,0.5149999856948853,742,6.32461953163147
Synthetic-Heterophilous,GAT,1,0.05,Vanilla,NA,0.5149999856948853,564,5.565933465957642
Synthetic-Heterophilous,GAT,1,0.05,Identity,NA,0.19499999284744263,89,1.6214187145233154
Synthetic-Heterophilous,GAT,1,0.05,Shuffled,NA,0.2750000059604645,283,3.303600788116455
Synthetic-Heterophilous,GAT,1,0.05,Gaussian,0.1,0.5149999856948853,564,5.6567909717559814
Synthetic-Heterophilous,GAT,1,0.05,Gaussian,0.3,0.47749999165534973,551,5.4339306354522705
Synthetic-Heterophilous,GAT,1,0.05,Gaussian,0.5,0.5199999809265137,582,5.888031482696533
Synthetic-Heterophilous,GAT,1,0.05,EdgeDrop,NA,0.5149999856948853,582,4.90847635269165
Synthetic-Heterophilous,GAT,1,0.1,Vanilla,NA,0.4424999952316284,286,3.422445297241211
Synthetic-Heterophilous,GAT,1,0.1,Identity,NA,0.19499999284744263,186,2.4530436992645264
Synthetic-Heterophilous,GAT,1,0.1,Shuffled,NA,0.35749998688697815,553,5.4299938678741455
Synthetic-Heterophilous,GAT,1,0.1,Gaussian,0.1,0.5724999904632568,656,6.518784046173096
