dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Synthetic-Heterophilous,GAT,0,0.01,Vanilla,NA,0.8799999952316284,711,7.896127462387085
Synthetic-Heterophilous,GAT,0,0.01,Identity,NA,0.21249999105930328,97,1.7479050159454346
Synthetic-Heterophilous,GAT,0,0.01,Shuffled,NA,0.23250000178813934,163,2.2743823528289795
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.1,0.8424999713897705,451,4.523151636123657
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.3,0.7774999737739563,353,3.746617317199707
Synthetic-Heterophilous,GAT,0,0.01,Gaussian,0.5,0.5924999713897705,779,7.423606634140015
Synthetic-Heterophilous,GAT,0,0.01,EdgeDrop,NA,0.7049999833106995,839,6.936516523361206
Synthetic-Heterophilous,GAT,0,0.03,Vanilla,NA,0.9699999690055847,638,6.135178327560425
Synthetic-Heterophilous,GAT,0,0.03,Identity,NA,0.19749999046325684,78,1.5110924243927002
Synthetic-Heterophilous,GAT,0,0.03,Shuffled,NA,0.23499999940395355,178,2.316716194152832
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.1,0.9724999666213989,567,5.697894811630249
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.3,0.9274999499320984,478,4.776772499084473
Synthetic-Heterophilous,GAT,0,0.03,Gaussian,0.5,0.9874999523162842,749,7.219775199890137
Synthetic-Heterophilous,GAT,0,0.03,EdgeDrop,NA,0.949999988079071,751,6.122941017150879
Synthetic-Heterophilous,GAT,0,0.05,Vanilla,NA,0.9824999570846558,801,7.706201076507568
Synthetic-Heterophilous,GAT,0,0.05,Identity,NA,0.19749999046325684,259,3.107407569885254
Synthetic-Heterophilous,GAT,0,0.05,Shuffled,NA,0.23749999701976776,163,2.2597780227661133
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.1,0.9325000047683716,992,8.556157112121582
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.3,0.9975000023841858,813,7.858684539794922
Synthetic-Heterophilous,GAT,0,0.05,Gaussian,0.5,0.9950000047683716,709,6.764758110046387
Synthetic-Heterophilous,GAT,0,0.05,EdgeDrop,NA,0.9449999928474426,909,7.473643064498901
Synthetic-Heterophilous,GAT,0,0.1,Vanilla,NA,0.9975000023841858,569,5.649194717407227
Synthetic-Heterophilous,GAT,0,0.1,Identity,NA,0.19749999046325684,341,3.9306583404541016
Synthetic-Heterophilous,GAT,0,0.1,Shuffled,NA,0.21249999105930328,188,2.4090628623962402
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.1,0.9899999499320984,675,6.574512720108032
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.3,1.0,561,5.571102142333984
Synthetic-Heterophilous,GAT,0,0.1,Gaussian,0.5,0.9950000047683716,995,8.536443710327148
Synthetic-Heterophilous,GAT,0,0.1,EdgeDrop,NA,0.9724999666213989,981,7.2080323696136475
Synthetic-Heterophilous,GAT,1,0.01,Vanilla,NA,0.8949999809265137,740,7.238208770751953
Synthetic-Heterophilous,GAT,1,0.01,Identity,NA,0.25999999046325684,84,1.5787489414215088
Synthetic-Heterophilous,GAT,1,0.01,Shuffled,NA,0.20499999821186066,90,1.5817663669586182
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.1,0.4975000023841858,679,6.6311187744140625
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.3,0.9124999642372131,670,6.4157609939575195
Synthetic-Heterophilous,GAT,1,0.01,Gaussian,0.5,0.7524999976158142,620,6.177717685699463
Synthetic-Heterophilous,GAT,1,0.01,EdgeDrop,NA,0.6225000023841858,565,4.797927618026733
Synthetic-Heterophilous,GAT,1,0.03,Vanilla,NA,0.98499995470047,417,4.407651901245117
Synthetic-Heterophilous,GAT,1,0.03,Identity,NA,0.2449999898672104,82,1.6550335884094238
Synthetic-Heterophilous,GAT,1,0.03,Shuffled,NA,0.19499999284744263,11,0.9265358448028564
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.1,0.98499995470047,446,4.554274797439575
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.3,0.9950000047683716,971,8.534332513809204
Synthetic-Heterophilous,GAT,1,0.03,Gaussian,0.5,0.9799999594688416,1000,8.424962043762207
