dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Citeseer,MLP,0,0.01,Vanilla,NA,0.4114114046096802,57,7.474231719970703
Citeseer,LogReg,0,0.01,Vanilla,NA,0.4444444444444444,NA,0.06111788749694824
Citeseer,MLP,0,0.01,Identity,NA,0.17717717587947845,1,5.484372854232788
Citeseer,LogReg,0,0.01,Identity,NA,0.2012012012012012,NA,0.06273412704467773
Citeseer,MLP,0,0.01,Shuffled,NA,0.19069069623947144,9,5.268377065658569
Citeseer,LogReg,0,0.01,Shuffled,NA,0.2147147147147147,NA,0.07916665077209473
Citeseer,MLP,0,0.01,Gaussian,0.1,0.18168167769908905,1,5.564955234527588
Citeseer,LogReg,0,0.01,Gaussian,0.1,0.17717717717717718,NA,0.3054330348968506
Citeseer,MLP,0,0.01,Gaussian,0.3,0.17267267405986786,4,4.799529552459717
Citeseer,LogReg,0,0.01,Gaussian,0.3,0.17267267267267267,NA,0.28748416900634766
Citeseer,MLP,0,0.01,Gaussian,0.5,0.1666666716337204,12,5.792223930358887
Citeseer,LogReg,0,0.01,Gaussian,0.5,0.17267267267267267,NA,0.8291306495666504
Citeseer,LabelProp,0,0.01,Structure,NA,0.0960960960960961,NA,2.0602033138275146
Citeseer,MLP,0,0.03,Vanilla,NA,0.46846845746040344,184,14.721597909927368
Citeseer,LogReg,0,0.03,Vanilla,NA,0.21021021021021022,NA,0.28973889350891113
Citeseer,MLP,0,0.03,Identity,NA,0.1921921968460083,1,5.018630027770996
Citeseer,LogReg,0,0.03,Identity,NA,0.21021021021021022,NA,0.08344697952270508
Citeseer,MLP,0,0.03,Shuffled,NA,0.2132132202386856,13,6.628591299057007
Citeseer,LogReg,0,0.03,Shuffled,NA,0.21021021021021022,NA,0.08854126930236816
Citeseer,MLP,0,0.03,Gaussian,0.1,0.18168167769908905,1,4.833480596542358
Citeseer,LogReg,0,0.03,Gaussian,0.1,0.2222222222222222,NA,0.10317444801330566
Citeseer,MLP,0,0.03,Gaussian,0.3,0.19519519805908203,3,6.307960748672485
Citeseer,LogReg,0,0.03,Gaussian,0.3,0.21921921921921922,NA,0.12757396697998047
Citeseer,MLP,0,0.03,Gaussian,0.5,0.18468467891216278,2,4.958292484283447
Citeseer,LogReg,0,0.03,Gaussian,0.5,0.2147147147147147,NA,0.3043990135192871
Citeseer,LabelProp,0,0.03,Structure,NA,0.11261261261261261,NA,1.8232676982879639
Citeseer,MLP,0,0.05,Vanilla,NA,0.5210210084915161,51,8.228429555892944
Citeseer,LogReg,0,0.05,Vanilla,NA,0.2147147147147147,NA,0.08889150619506836
Citeseer,MLP,0,0.05,Identity,NA,0.1666666716337204,2,4.719774484634399
Citeseer,LogReg,0,0.05,Identity,NA,0.21021021021021022,NA,0.8508517742156982
Citeseer,MLP,0,0.05,Shuffled,NA,0.19819819927215576,14,6.398068904876709
Citeseer,LogReg,0,0.05,Shuffled,NA,0.21021021021021022,NA,0.6118679046630859
Citeseer,MLP,0,0.05,Gaussian,0.1,0.19069069623947144,1,5.762693881988525
Citeseer,LogReg,0,0.05,Gaussian,0.1,0.20270270270270271,NA,0.713921308517456
Citeseer,MLP,0,0.05,Gaussian,0.3,0.17417417466640472,3,5.166269540786743
Citeseer,LogReg,0,0.05,Gaussian,0.3,0.1996996996996997,NA,0.10548901557922363
Citeseer,MLP,0,0.05,Gaussian,0.5,0.17717717587947845,12,5.7395243644714355
Citeseer,LogReg,0,0.05,Gaussian,0.5,0.2012012012012012,NA,0.580721378326416
Citeseer,LabelProp,0,0.05,Structure,NA,0.12312312312312312,NA,2.317558526992798
Citeseer,MLP,0,0.1,Vanilla,NA,0.6051051020622253,48,7.197265148162842
Citeseer,LogReg,0,0.1,Vanilla,NA,0.22372372372372373,NA,0.30434155464172363
Citeseer,MLP,0,0.1,Identity,NA,0.18318317830562592,2,5.6400368213653564
Citeseer,LogReg,0,0.1,Identity,NA,0.21021021021021022,NA,0.35050487518310547
Citeseer,MLP,0,0.1,Shuffled,NA,0.18618617951869965,19,5.859494686126709
Citeseer,LogReg,0,0.1,Shuffled,NA,0.21021021021021022,NA,0.16624808311462402
Citeseer,MLP,0,0.1,Gaussian,0.1,0.19069069623947144,1,5.731334447860718
Citeseer,LogReg,0,0.1,Gaussian,0.1,0.21621621621621623,NA,0.4310445785522461
Citeseer,MLP,0,0.1,Gaussian,0.3,0.19069069623947144,2,5.035866975784302
Citeseer,LogReg,0,0.1,Gaussian,0.3,0.21171171171171171,NA,0.45714831352233887
Citeseer,MLP,0,0.1,Gaussian,0.5,0.1876876950263977,2,6.718186378479004
Citeseer,LogReg,0,0.1,Gaussian,0.5,0.1966966966966967,NA,0.49666309356689453
Citeseer,LabelProp,0,0.1,Structure,NA,0.16966966966966968,NA,1.903078556060791
Citeseer,MLP,1,0.01,Vanilla,NA,0.4099099040031433,80,9.584773540496826
Citeseer,LogReg,1,0.01,Vanilla,NA,0.4039039039039039,NA,0.20145845413208008
Citeseer,MLP,1,0.01,Identity,NA,0.17717717587947845,1,4.642184495925903
Citeseer,LogReg,1,0.01,Identity,NA,0.2012012012012012,NA,0.18704819679260254
Citeseer,MLP,1,0.01,Shuffled,NA,0.18918919563293457,20,6.8844380378723145
