dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
Synthetic,MLP,0,0.01,Vanilla,NA,0.2549999952316284,46,1.1151623725891113
Synthetic,LogReg,0,0.01,Vanilla,NA,0.29,NA,0.027271509170532227
Synthetic,MLP,0,0.01,Identity,NA,0.21250000596046448,5,2.398406982421875
Synthetic,LogReg,0,0.01,Identity,NA,0.2125,NA,0.03045058250427246
Synthetic,MLP,0,0.01,Shuffled,NA,0.1850000023841858,1,0.7726688385009766
Synthetic,LogReg,0,0.01,Shuffled,NA,0.195,NA,0.014200925827026367
Synthetic,MLP,0,0.01,Gaussian,0.1,0.2874999940395355,31,0.9524338245391846
Synthetic,LogReg,0,0.01,Gaussian,0.1,0.3075,NA,0.014001607894897461
Synthetic,MLP,0,0.01,Gaussian,0.3,0.2800000011920929,16,1.2546100616455078
Synthetic,LogReg,0,0.01,Gaussian,0.3,0.3075,NA,0.04901409149169922
Synthetic,MLP,0,0.01,Gaussian,0.5,0.2775000035762787,26,1.4133977890014648
Synthetic,LogReg,0,0.01,Gaussian,0.5,0.31,NA,0.013521194458007812
Synthetic,LabelProp,0,0.01,Structure,NA,0.195,NA,0.5652179718017578
Synthetic,MLP,0,0.03,Vanilla,NA,0.3375000059604645,9,0.7388110160827637
Synthetic,LogReg,0,0.03,Vanilla,NA,0.3075,NA,0.013832569122314453
Synthetic,MLP,0,0.03,Identity,NA,0.19750000536441803,5,2.416883945465088
Synthetic,LogReg,0,0.03,Identity,NA,0.2125,NA,0.02509307861328125
Synthetic,MLP,0,0.03,Shuffled,NA,0.20999999344348907,6,0.7973556518554688
Synthetic,LogReg,0,0.03,Shuffled,NA,0.1925,NA,0.013930559158325195
Synthetic,MLP,0,0.03,Gaussian,0.1,0.3400000035762787,16,0.8433146476745605
Synthetic,LogReg,0,0.03,Gaussian,0.1,0.32,NA,0.013924837112426758
Synthetic,MLP,0,0.03,Gaussian,0.3,0.3474999964237213,21,0.8680143356323242
Synthetic,LogReg,0,0.03,Gaussian,0.3,0.315,NA,0.01375722885131836
Synthetic,MLP,0,0.03,Gaussian,0.5,0.32749998569488525,22,0.8747613430023193
Synthetic,LogReg,0,0.03,Gaussian,0.5,0.315,NA,0.014690160751342773
Synthetic,LabelProp,0,0.03,Structure,NA,0.195,NA,0.5152807235717773
Synthetic,MLP,0,0.05,Vanilla,NA,0.3700000047683716,8,0.7415783405303955
Synthetic,LogReg,0,0.05,Vanilla,NA,0.36,NA,0.014864444732666016
Synthetic,MLP,0,0.05,Identity,NA,0.20749999582767487,30,3.8972489833831787
Synthetic,LogReg,0,0.05,Identity,NA,0.2125,NA,0.19233131408691406
Synthetic,MLP,0,0.05,Shuffled,NA,0.1899999976158142,5,0.7945489883422852
Synthetic,LogReg,0,0.05,Shuffled,NA,0.2,NA,0.015870094299316406
Synthetic,MLP,0,0.05,Gaussian,0.1,0.3824999928474426,10,0.809920072555542
Synthetic,LogReg,0,0.05,Gaussian,0.1,0.36,NA,0.014480113983154297
Synthetic,MLP,0,0.05,Gaussian,0.3,0.35499998927116394,11,0.791069507598877
Synthetic,LogReg,0,0.05,Gaussian,0.3,0.34,NA,0.019591569900512695
Synthetic,MLP,0,0.05,Gaussian,0.5,0.32749998569488525,145,1.738779067993164
Synthetic,LogReg,0,0.05,Gaussian,0.5,0.3,NA,0.014498710632324219
Synthetic,LabelProp,0,0.05,Structure,NA,0.1975,NA,0.6597244739532471
Synthetic,MLP,0,0.1,Vanilla,NA,0.41749998927116394,6,0.7253644466400146
Synthetic,LogReg,0,0.1,Vanilla,NA,0.375,NA,0.01690959930419922
Synthetic,MLP,0,0.1,Identity,NA,0.20999999344348907,11,2.5346524715423584
Synthetic,LogReg,0,0.1,Identity,NA,0.2125,NA,0.04891204833984375
Synthetic,MLP,0,0.1,Shuffled,NA,0.19249999523162842,4,0.8029072284698486
Synthetic,LogReg,0,0.1,Shuffled,NA,0.2125,NA,0.01719832420349121
Synthetic,MLP,0,0.1,Gaussian,0.1,0.42250001430511475,6,1.1900501251220703
Synthetic,LogReg,0,0.1,Gaussian,0.1,0.375,NA,0.0278170108795166
Synthetic,MLP,0,0.1,Gaussian,0.3,0.41999998688697815,9,1.2681620121002197
Synthetic,LogReg,0,0.1,Gaussian,0.3,0.37,NA,0.016524553298950195
Synthetic,MLP,0,0.1,Gaussian,0.5,0.4074999988079071,6,0.7886593341827393
Synthetic,LogReg,0,0.1,Gaussian,0.5,0.36,NA,0.016269207000732422
Synthetic,LabelProp,0,0.1,Structure,NA,0.1975,NA,0.6310262680053711
Synthetic,MLP,1,0.01,Vanilla,NA,0.30000001192092896,12,0.7788655757904053
Synthetic,LogReg,1,0.01,Vanilla,NA,0.26,NA,0.013217449188232422
Synthetic,MLP,1,0.01,Identity,NA,0.20499999821186066,7,2.4127018451690674
Synthetic,LogReg,1,0.01,Identity,NA,0.205,NA,0.02372145652770996
